"parent_model_code","line_no","component_model_code","quantity","unit_price","component_kind","set_head"
"AF70F17D24LRS","2","AF70F17D2QBX","1.00","689000.00","OUTDOOR","False"
"AF70F17D24LRS","3","AR60F06D1A0Q","1.00","200000.00","ACCESSORY","False"
"AF70F17D24LRS","4","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF70F17D24LRS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
"AF70F17D24LS","1","AF70F17D24LN","1.00","1066000.00","INDOOR","True"
"AF70F17D24LS","2","AF70F17D2QBX","1.00","710000.00","OUTDOOR","False"
"AF70F17D24LS","3","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF70F17D24WRS","1","AF70F17D24WN","1.00","1033000.00","INDOOR","True"
"AF70F17D24WRS","2","AF70F17D2QBX","1.00","689000.00","OUTDOOR","False"
"AF70F17D24WRS","3","AR60F06D1A0Q","1.00","200000.00","ACCESSORY","False"
"AF70F17D24WRS","4","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF70F17D24WRS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
"AF70F17D24WS","1","AF70F17D24WN","1.00","1066000.00","INDOOR","True"
"AF70F17D24WS","2","AF70F17D2QBX","1.00","710000.00","OUTDOOR","False"
"AF70F17D24WS","3","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF70F17D25BRS","1","AF70F17D25BN","1.00","1117000.00","INDOOR","True"
"AF70F17D25BRS","2","AF70F17D2QBX","1.00","745000.00","OUTDOOR","False"
"AF70F17D25BRS","3","AR60F06D1A0Q","1.00","200000.00","ACCESSORY","False"
"AF70F17D25BRS","4","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF70F17D25BRS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
"AF70F17D25BS","1","AF70F17D25BN","1.00","1150000.00","INDOOR","True"
"AF70F17D25BS","2","AF70F17D2QBX","1.00","766000.00","OUTDOOR","False"
"AF70F17D25BS","3","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF70F17D25WRS","1","AF70F17D25WN","1.00","1117000.00","INDOOR","True"
"AF70F17D25WRS","2","AF70F17D2QBX","1.00","745000.00","OUTDOOR","False"
"AF70F17D25WRS","3","AR60F06D1A0Q","1.00","200000.00","ACCESSORY","False"
"AF70F17D25WRS","4","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF70F17D25WRS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
